,sim_id,W01,AVE_p0,VE_p0,seed,scan_dict
0,262,0.001,3.4727272727272727,3.8363636363636364,2026,23032022_W01_AVEp0_VEp0_262
0,263,0.001,3.4727272727272727,3.8363636363636364,2027,23032022_W01_AVEp0_VEp0_263
0,264,0.001,3.4727272727272727,3.9272727272727277,2022,23032022_W01_AVEp0_VEp0_264
0,265,0.001,3.4727272727272727,3.9272727272727277,2023,23032022_W01_AVEp0_VEp0_265
0,266,0.001,3.4727272727272727,3.9272727272727277,2024,23032022_W01_AVEp0_VEp0_266
0,267,0.001,3.4727272727272727,3.9272727272727277,2025,23032022_W01_AVEp0_VEp0_267
0,268,0.001,3.4727272727272727,3.9272727272727277,2026,23032022_W01_AVEp0_VEp0_268
0,269,0.001,3.4727272727272727,3.9272727272727277,2027,23032022_W01_AVEp0_VEp0_269
0,270,0.001,3.4727272727272727,4.0181818181818185,2022,23032022_W01_AVEp0_VEp0_270
0,271,0.001,3.4727272727272727,4.0181818181818185,2023,23032022_W01_AVEp0_VEp0_271
0,272,0.001,3.4727272727272727,4.0181818181818185,2024,23032022_W01_AVEp0_VEp0_272
0,273,0.001,3.4727272727272727,4.0181818181818185,2025,23032022_W01_AVEp0_VEp0_273
0,274,0.001,3.4727272727272727,4.0181818181818185,2026,23032022_W01_AVEp0_VEp0_274
0,275,0.001,3.4727272727272727,4.0181818181818185,2027,23032022_W01_AVEp0_VEp0_275
0,276,0.001,3.4727272727272727,4.109090909090909,2022,23032022_W01_AVEp0_VEp0_276
0,277,0.001,3.4727272727272727,4.109090909090909,2023,23032022_W01_AVEp0_VEp0_277
0,278,0.001,3.4727272727272727,4.109090909090909,2024,23032022_W01_AVEp0_VEp0_278
0,279,0.001,3.4727272727272727,4.109090909090909,2025,23032022_W01_AVEp0_VEp0_279
0,280,0.001,3.4727272727272727,4.109090909090909,2026,23032022_W01_AVEp0_VEp0_280
0,281,0.001,3.4727272727272727,4.109090909090909,2027,23032022_W01_AVEp0_VEp0_281
0,282,0.001,3.4727272727272727,4.2,2022,23032022_W01_AVEp0_VEp0_282
0,283,0.001,3.4727272727272727,4.2,2023,23032022_W01_AVEp0_VEp0_283
0,284,0.001,3.4727272727272727,4.2,2024,23032022_W01_AVEp0_VEp0_284
0,285,0.001,3.4727272727272727,4.2,2025,23032022_W01_AVEp0_VEp0_285
0,286,0.001,3.4727272727272727,4.2,2026,23032022_W01_AVEp0_VEp0_286
0,287,0.001,3.4727272727272727,4.2,2027,23032022_W01_AVEp0_VEp0_287
0,288,0.001,3.563636363636364,3.2,2022,23032022_W01_AVEp0_VEp0_288
0,289,0.001,3.563636363636364,3.2,2023,23032022_W01_AVEp0_VEp0_289
0,290,0.001,3.563636363636364,3.2,2024,23032022_W01_AVEp0_VEp0_290
0,291,0.001,3.563636363636364,3.2,2025,23032022_W01_AVEp0_VEp0_291
0,292,0.001,3.563636363636364,3.2,2026,23032022_W01_AVEp0_VEp0_292
0,293,0.001,3.563636363636364,3.2,2027,23032022_W01_AVEp0_VEp0_293
0,294,0.001,3.563636363636364,3.290909090909091,2022,23032022_W01_AVEp0_VEp0_294
0,295,0.001,3.563636363636364,3.290909090909091,2023,23032022_W01_AVEp0_VEp0_295
0,296,0.001,3.563636363636364,3.290909090909091,2024,23032022_W01_AVEp0_VEp0_296
0,297,0.001,3.563636363636364,3.290909090909091,2025,23032022_W01_AVEp0_VEp0_297
0,298,0.001,3.563636363636364,3.290909090909091,2026,23032022_W01_AVEp0_VEp0_298
